Cluster	index	index	Absolute_Count	Relative_Value
0	2	23315	1	5.1150895140664964e-05
0	5	30977	1	5.1150895140664964e-05
0	25	34197	1	5.1150895140664964e-05
0	29	29870	1	5.1150895140664964e-05
0	31	33945	1	5.1150895140664964e-05
0	37	36470	1	5.1150895140664964e-05
0	38	32146	1	5.1150895140664964e-05
0	47	29044	1	5.1150895140664964e-05
0	71	30327	1	5.1150895140664964e-05
0	82	37659	1	5.1150895140664964e-05
0	91	35329	1	5.1150895140664964e-05
0	102	38470	1	5.1150895140664964e-05
0	104	26035	1	5.1150895140664964e-05
0	110	22875	1	5.1150895140664964e-05
0	130	25273	1	5.1150895140664964e-05
0	132	37431	1	5.1150895140664964e-05
0	136	36152	1	5.1150895140664964e-05
0	140	24754	1	5.1150895140664964e-05
0	146	25453	1	5.1150895140664964e-05
0	153	30236	1	5.1150895140664964e-05
0	155	26492	1	5.1150895140664964e-05
0	158	31059	1	5.1150895140664964e-05
0	159	39911	1	5.1150895140664964e-05
0	171	30524	1	5.1150895140664964e-05
0	174	20840	1	5.1150895140664964e-05
0	176	20586	1	5.1150895140664964e-05
0	179	29295	1	5.1150895140664964e-05
0	184	30308	1	5.1150895140664964e-05
0	188	26932	1	5.1150895140664964e-05
0	199	38271	1	5.1150895140664964e-05
0	221	38345	1	5.1150895140664964e-05
0	232	23793	1	5.1150895140664964e-05
0	249	33985	1	5.1150895140664964e-05
0	257	33635	1	5.1150895140664964e-05
0	261	35339	1	5.1150895140664964e-05
0	271	21147	1	5.1150895140664964e-05
0	275	21127	1	5.1150895140664964e-05
0	289	24508	1	5.1150895140664964e-05
0	294	21654	1	5.1150895140664964e-05
0	297	38786	1	5.1150895140664964e-05
0	319	28167	1	5.1150895140664964e-05
0	327	34833	1	5.1150895140664964e-05
0	331	37701	1	5.1150895140664964e-05
0	332	35958	1	5.1150895140664964e-05
0	343	25672	1	5.1150895140664964e-05
0	378	37038	1	5.1150895140664964e-05
0	380	35060	1	5.1150895140664964e-05
0	385	28744	1	5.1150895140664964e-05
0	397	31249	1	5.1150895140664964e-05
0	400	22091	1	5.1150895140664964e-05
0	404	33036	1	5.1150895140664964e-05
0	415	20313	1	5.1150895140664964e-05
0	422	33098	1	5.1150895140664964e-05
0	426	28335	1	5.1150895140664964e-05
0	450	29690	1	5.1150895140664964e-05
