Cluster	REGIOTYP	Absolute_Count	Relative_Value
0	-1.0	1356	0.06936061381074168
0	1.0	2430	0.12429667519181585
0	2.0	2945	0.15063938618925832
0	3.0	2767	0.14153452685421994
0	4.0	1575	0.08056265984654731
0	5.0	2986	0.15273657289002557
0	6.0	3964	0.2027621483375959
0	7.0	1527	0.0781074168797954
1	-1.0	23	0.051111111111111114
1	1.0	57	0.12666666666666668
1	2.0	61	0.13555555555555557
1	3.0	67	0.14888888888888888
1	4.0	46	0.10222222222222223
1	5.0	63	0.14
1	6.0	86	0.19111111111111112
1	7.0	47	0.10444444444444445
